conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,summary_time_seconds
1yi9t0,0.9923111714156491,1.0,0.9961407491486947,0.9923076923076923,1.0,0.9961389961389961,0.9923111714156491,1.0,0.9961407491486947,0.02
1zz0hh,0.9707964601769912,1.0,0.9851818590031433,0.9707835325365206,1.0,0.9851752021563343,0.9707964601769912,1.0,0.9851818590031433,0.02
5rg40h,0.9322625698324022,1.0,0.9649439826526923,0.9322152341020266,1.0,0.9649186256781194,0.9322625698324022,1.0,0.9649439826526923,0.03
69mi5,0.9287058823529412,1.0,0.9630352568012687,0.9286891033184279,1.0,0.963026235509457,0.9287058823529412,1.0,0.9630352568012687,0.22
69n44,0.9070533948582729,1.0,0.9512616660905634,0.9069920844327177,1.0,0.9512279488066413,0.9070533948582729,1.0,0.9512616660905634,0.06
6a53w,0.9362962962962963,1.0,0.9671002295332822,0.9362490733876946,1.0,0.9670750382848391,0.9362962962962963,1.0,0.9671002295332822,0.06
6a58n,0.9235308000944065,1.0,0.9602453987730062,0.9235247836349332,1.0,0.9602421465968587,0.9235308000944065,1.0,0.9602453987730062,0.92
6a659,0.9375,1.0,0.967741935483871,0.9374485596707819,1.0,0.967714528462192,0.9375,1.0,0.967741935483871,0.05
6ahuz,0.9190091356289529,1.0,0.9577954774329397,0.9189949042347566,1.0,0.957787748374691,0.9190091356289529,1.0,0.9577954774329397,0.28
6akt6,0.9176470588235294,1.0,0.9570552147239264,0.9176136363636364,1.0,0.9570370370370371,0.9176470588235294,1.0,0.9570552147239264,0.09
6alfc,0.9335611756664388,1.0,0.9656391402714932,0.933552091878589,1.0,0.9656342808655071,0.9335611756664388,1.0,0.9656391402714932,0.45
6b9la,0.9279172118472702,1.0,0.9626110562685093,0.92790863668808,1.0,0.9626064420584969,0.9279172118472702,1.0,0.9626110562685093,0.49
6blv6,0.9319538244070991,1.0,0.9647785704123732,0.9319511524718262,1.0,0.9647771386760432,0.9319538244070991,1.0,0.9647785704123732,2.93
6bquw,0.928436018957346,1.0,0.9628901449987712,0.9284020862968232,1.0,0.9628718957462503,0.928436018957346,1.0,0.9628901449987712,0.06
6bwnx,0.9313186813186813,1.0,0.9644381223328592,0.9312809235843871,1.0,0.9644178764588671,0.9313186813186813,1.0,0.9644381223328592,0.08
6bza8,0.9232991014120667,1.0,0.9601201401635241,0.9232744783306581,1.0,0.9601068269070272,0.9232991014120667,1.0,0.9601201401635241,0.18
6c2jj,0.9380530973451328,1.0,0.9680365296803652,0.9380073800738007,1.0,0.968012185833968,0.9380530973451328,1.0,0.9680365296803652,0.02
6c8kq,0.9443099273607748,1.0,0.971357409713574,0.944264943457189,1.0,0.9713336103032821,0.9443099273607748,1.0,0.971357409713574,0.04
6ca68,0.9128775834658187,1.0,0.9544547872340425,0.9128498727735369,1.0,0.9544396408380446,0.9128775834658187,1.0,0.9544547872340425,0.15
6cbee,0.9234778488509832,1.0,0.9602167754649588,0.9234597156398104,1.0,0.9602069730195886,0.9234778488509832,1.0,0.9602167754649588,0.18
6cboe,0.9239952248308795,1.0,0.9604963805584282,0.9239649681528662,1.0,0.9604800331057315,0.9239952248308795,1.0,0.9604963805584282,0.13
