conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,summary_time_seconds
ckrjw,1.0,0.5297113752122241,0.6925638179800222,0.9839228295819936,0.5204081632653061,0.6807563959955506,1.0,0.5297113752122241,0.6925638179800222,6.4935455322265625
cksef,1.0,0.300561797752809,0.46220302375809935,0.9875,0.29615745079662603,0.4556596971881759,1.0,0.300561797752809,0.46220302375809935,3.941537618637085
ckz62,1.0,0.47761194029850745,0.6464646464646464,0.9910313901345291,0.4722222222222222,0.6396526772793053,1.0,0.47761194029850745,0.6464646464646464,3.556284189224243
cl2ea,1.0,0.37721518987341773,0.5477941176470589,0.9797979797979798,0.3688212927756654,0.5359116022099447,1.0,0.37721518987341773,0.5477941176470589,2.9571425914764404
cl8at,1.0,0.3916967509025271,0.562905317769131,0.9976905311778291,0.3902439024390244,0.561038961038961,1.0,0.3916967509025271,0.562905317769131,5.0061023235321045
clcgf,1.0,0.13454545454545455,0.2371794871794872,0.9728682170542635,0.13045738045738045,0.23006416131989,1.0,0.13454545454545455,0.2371794871794872,10.003405809402466
clhma,1.0,0.32116788321167883,0.4861878453038674,0.9840546697038725,0.3155588020452885,0.47787610619469023,1.0,0.32116788321167883,0.4861878453038674,21.312928915023804
clicr,1.0,0.4508670520231214,0.6215139442231076,0.9935483870967742,0.4463768115942029,0.616,1.0,0.4508670520231214,0.6215139442231076,2.3478875160217285
clm0x,1.0,0.24321608040201004,0.39126919967663704,0.970954356846473,0.23541247484909456,0.3789473684210526,1.0,0.24321608040201004,0.39126919967663704,2.767577648162842
clm8e,1.0,0.47438752783964366,0.6435045317220544,0.9858490566037735,0.46651785714285715,0.6333333333333333,1.0,0.47438752783964366,0.6435045317220544,5.366161108016968
clmej,1.0,0.174110835401158,0.29658330398027477,0.969047619047619,0.1683905668183699,0.2869228057807543,1.0,0.174110835401158,0.29658330398027477,21.112406730651855
clms8,1.0,0.7660818713450293,0.8675496688741722,0.9846743295019157,0.7536656891495601,0.8538205980066446,1.0,0.7660818713450293,0.8675496688741722,2.811687707901001
cltp4,1.0,0.3442622950819672,0.5121951219512195,0.9880239520958084,0.33880903490759756,0.5045871559633028,1.0,0.3442622950819672,0.5121951219512195,1.5494415760040283
clxn3,1.0,0.4262295081967213,0.5977011494252873,0.9871244635193133,0.4197080291970803,0.5889884763124199,1.0,0.4262295081967213,0.5977011494252873,3.6061391830444336
cly7c,1.0,0.26169265033407574,0.4148278905560459,0.9786324786324786,0.2552954292084727,0.4049513704686119,1.0,0.26169265033407574,0.4148278905560459,2.7421767711639404
clzhs,1.0,0.4043062200956938,0.575809199318569,0.9761904761904762,0.3932853717026379,0.5606837606837607,1.0,0.4043062200956938,0.575809199318569,2.3569397926330566
cm2w3,1.0,0.4117647058823529,0.5833333333333334,0.9736842105263158,0.3978494623655914,0.564885496183206,1.0,0.4117647058823529,0.5833333333333334,1.0655286312103271
cm7dp,1.0,0.6240786240786241,0.7685325264750378,0.9920948616600791,0.6182266009852216,0.7617602427921093,1.0,0.6240786240786241,0.7685325264750378,3.1881823539733887
cmat3,1.0,0.23083131557707828,0.37508196721311476,0.9754385964912281,0.2245557350565428,0.36506894287590286,1.0,0.23083131557707828,0.37508196721311476,2.6077730655670166
cmb29,1.0,0.2222222222222222,0.3636363636363636,0.978021978021978,0.21672077922077923,0.3548172757475083,1.0,0.2222222222222222,0.3636363636363636,11.33332633972168
cmbkj,1.0,0.4704370179948586,0.6398601398601399,0.9725274725274725,0.45618556701030927,0.6210526315789473,1.0,0.4704370179948586,0.6398601398601399,3.2087478637695312
cmgap,1.0,0.333869670152856,0.5006031363088058,0.9903381642512077,0.33011272141706927,0.4951690821256039,1.0,0.333869670152856,0.5006031363088058,7.6396729946136475
cml25,1.0,0.7741935483870968,0.8727272727272727,0.993006993006993,0.7675675675675676,0.8658536585365854,1.0,0.7741935483870968,0.8727272727272727,1.763667106628418
cmmqc,1.0,0.2755267423014587,0.43202033036848797,0.9941002949852508,0.2733171127331711,0.4287531806615776,1.0,0.2755267423014587,0.43202033036848797,2.5104541778564453
cmr65,1.0,0.7850467289719626,0.8795811518324607,0.9879518072289156,0.7735849056603774,0.8677248677248678,1.0,0.7850467289719626,0.8795811518324607,1.1766936779022217
cmu5s,1.0,0.18829707426856715,0.31691919191919193,0.98,0.18393393393393392,0.30973451327433627,1.0,0.18829707426856715,0.31691919191919193,2.0745835304260254
