conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,summary_time_seconds
ckrjw,0.9530744336569579,1.0,0.975973487986744,0.9529983792544571,1.0,0.9759336099585062,0.9530744336569579,1.0,0.975973487986744,
cksef,0.9561324977618622,1.0,0.9775743707093821,0.9560931899641577,1.0,0.977553825011452,0.9561324977618622,1.0,0.9775743707093821,
ckz62,0.9513184584178499,1.0,0.975051975051975,0.9512195121951219,1.0,0.975,0.9513184584178499,1.0,0.975051975051975,
cl2ea,0.9294117647058824,1.0,0.9634146341463414,0.9293286219081273,1.0,0.9633699633699635,0.9294117647058824,1.0,0.9634146341463414,
cl8at,0.920265780730897,1.0,0.9584775086505191,0.9201995012468828,1.0,0.9584415584415583,0.920265780730897,1.0,0.9584775086505191,
clcgf,0.9367396593673966,1.0,0.9673366834170855,0.9367088607594937,1.0,0.9673202614379084,0.9367396593673966,1.0,0.9673366834170855,
clhma,0.9042904290429042,1.0,0.9497400346620449,0.9042272126816381,1.0,0.9497051682275407,0.9042904290429042,1.0,0.9497400346620449,
clicr,0.8894601542416453,1.0,0.9414965986394558,0.8891752577319587,1.0,0.9413369713506139,0.8894601542416453,1.0,0.9414965986394558,
clm0x,0.9467174119885823,1.0,0.9726295210166177,0.9466666666666667,1.0,0.9726027397260273,0.9467174119885823,1.0,0.9726295210166177,
clm8e,0.9697624190064795,1.0,0.9846491228070176,0.9696969696969697,1.0,0.9846153846153847,0.9697624190064795,1.0,0.9846491228070176,
clmej,0.9357585139318886,1.0,0.966813274690124,0.9357336430507163,1.0,0.9668000000000001,0.9357585139318886,1.0,0.966813274690124,
clms8,0.95,1.0,0.9743589743589743,0.9498607242339833,1.0,0.9742857142857143,0.95,1.0,0.9743589743589743,
cltp4,0.9568627450980393,1.0,0.9779559118236473,0.9567779960707269,1.0,0.9779116465863453,0.9568627450980393,1.0,0.9779559118236473,
clxn3,0.9336734693877551,1.0,0.9656992084432717,0.9335604770017035,1.0,0.9656387665198238,0.9336734693877551,1.0,0.9656992084432717,
cly7c,0.9191402251791198,1.0,0.9578666666666666,0.9190573770491803,1.0,0.9578216764548853,0.9191402251791198,1.0,0.9578666666666666,
clzhs,0.9351230425055929,1.0,0.9664739884393064,0.9349775784753364,1.0,0.966396292004635,0.9351230425055929,1.0,0.9664739884393064,
cm2w3,0.9842105263157894,1.0,0.9920424403183024,0.9841269841269841,1.0,0.9919999999999999,0.9842105263157894,1.0,0.9920424403183024,
cm7dp,0.9667458432304038,1.0,0.9830917874396136,0.9666666666666667,1.0,0.983050847457627,0.9667458432304038,1.0,0.9830917874396136,
cmat3,0.9260089686098655,1.0,0.9615832363213038,0.9259536275243081,1.0,0.9615533980582524,0.9260089686098655,1.0,0.9615832363213038,
cmb29,0.9477325134511914,1.0,0.9731649565903709,0.9476923076923077,1.0,0.9731437598736178,0.9477325134511914,1.0,0.9731649565903709,
cmbkj,0.9239904988123515,1.0,0.9604938271604938,0.9238095238095239,1.0,0.9603960396039605,0.9239904988123515,1.0,0.9604938271604938,
cmgap,0.9338842975206612,1.0,0.9658119658119658,0.9338345864661655,1.0,0.9657853810264386,0.9338842975206612,1.0,0.9658119658119658,
cml25,0.916256157635468,1.0,0.9562982005141388,0.9158415841584159,1.0,0.9560723514211887,0.916256157635468,1.0,0.9562982005141388,
cmmqc,0.9376899696048632,1.0,0.9678431372549019,0.9376425855513308,1.0,0.967817896389325,0.9376899696048632,1.0,0.9678431372549019,
cmr65,0.8770491803278688,1.0,0.9344978165938864,0.8760330578512396,1.0,0.9339207048458149,0.8770491803278688,1.0,0.9344978165938864,
cmu5s,0.9360955056179775,1.0,0.966993108451215,0.9360505973295854,1.0,0.9669691470054447,0.9360955056179775,1.0,0.966993108451215,
cmur1,0.8909657320872274,1.0,0.9423393739703461,0.890625,1.0,0.9421487603305785,0.8909657320872274,1.0,0.9423393739703461,
cn0io,0.930635838150289,1.0,0.9640718562874252,0.9302325581395349,1.0,0.963855421686747,0.930635838150289,1.0,0.9640718562874252,
cn36l,0.9354838709677419,1.0,0.9666666666666666,0.935064935064935,1.0,0.9664429530201343,0.9354838709677419,1.0,0.9666666666666666,
cn4vs,0.9329962073324906,1.0,0.9653368214519294,0.9329113924050633,1.0,0.9652914210870989,0.9329962073324906,1.0,0.9653368214519294,
cn5om,0.9176470588235294,1.0,0.9570552147239264,0.9171597633136095,1.0,0.9567901234567902,0.9176470588235294,1.0,0.9570552147239264,
