conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1
ckrjw,0.9788359788359788,0.3140916808149406,0.4755784061696659,0.9468085106382979,0.30272108843537415,0.4587628865979382,0.9523809523809523,0.30560271646859083,0.4627249357326478
cksef,0.9806451612903225,0.14232209737827714,0.24856909239574815,0.9415584415584416,0.1358950328022493,0.2375102375102375,0.9419354838709677,0.13670411985018727,0.23875715453802127
ckz62,0.9657534246575342,0.3006396588486141,0.4585365853658537,0.9103448275862069,0.28205128205128205,0.43066884176182707,0.9383561643835616,0.2921108742004264,0.44552845528455287
cl2ea,0.9640718562874252,0.20379746835443038,0.3364681295715778,0.8734939759036144,0.18377693282636248,0.3036649214659686,0.844311377245509,0.17848101265822786,0.29467084639498436
cl8at,0.993485342019544,0.2752707581227437,0.4310954063604241,0.9575163398692811,0.2646793134598013,0.41472045293701354,0.9771986970684039,0.27075812274368233,0.42402826855123676
clcgf,0.9747474747474747,0.10025974025974026,0.18181818181818182,0.9390862944162437,0.09615384615384616,0.17444601603017443,0.9545454545454546,0.09818181818181818,0.17804992934526612
clhma,0.9835164835164835,0.13065693430656936,0.23067010309278352,0.9447513812154696,0.12490869247626005,0.22064516129032258,0.9615384615384616,0.12773722627737227,0.2255154639175258
clicr,0.9689119170984456,0.5404624277456648,0.6938775510204082,0.9427083333333334,0.5246376811594203,0.6741154562383613,0.9533678756476683,0.5317919075144508,0.6827458256029685
clm0x,0.9864864864864865,0.2201005025125628,0.3599013968775678,0.9457013574660633,0.21026156941649898,0.34403292181069955,0.9684684684684685,0.21608040201005024,0.3533278553820871
clm8e,0.9251700680272109,0.3028953229398664,0.45637583892617445,0.8493150684931506,0.2767857142857143,0.41750841750841755,0.8639455782312925,0.2828507795100223,0.42617449664429535
clmej,0.9937369519832986,0.1968569065343259,0.32861580945806007,0.9581589958158996,0.1894911046752172,0.3164075993091537,0.9812108559498957,0.19437551695616212,0.32447359337245424
clms8,0.9821428571428571,0.4824561403508772,0.6470588235294117,0.9700598802395209,0.4750733137829912,0.6377952755905513,0.9702380952380952,0.4766081871345029,0.6392156862745099
cltp4,0.9674418604651163,0.4262295081967213,0.5917496443812233,0.9252336448598131,0.406570841889117,0.5649072753209701,0.9302325581395349,0.4098360655737705,0.5689900426742532
clxn3,0.9724770642201835,0.1930783242258652,0.3221884498480243,0.9166666666666666,0.18065693430656934,0.301829268292683,0.9541284403669725,0.1894353369763206,0.3161094224924012
cly7c,0.9642857142857143,0.15033407572383073,0.26011560693641617,0.9136690647482014,0.1415830546265329,0.24517374517374516,0.95,0.14810690423162584,0.25626204238921
clzhs,0.9813664596273292,0.37799043062200954,0.5457685664939551,0.94375,0.36211031175059955,0.5233968804159446,0.968944099378882,0.37320574162679426,0.538860103626943
cm2w3,0.9583333333333334,0.24598930481283424,0.39148936170212767,0.8936170212765957,0.22580645161290322,0.3605150214592274,0.9375,0.24064171122994651,0.38297872340425526
cm7dp,0.9576271186440678,0.27764127764127766,0.4304761904761905,0.8803418803418803,0.2536945812807882,0.3938814531548757,0.9152542372881356,0.26535626535626533,0.4114285714285714
cmat3,0.9512195121951219,0.18886198547215496,0.3151515151515152,0.8,0.1583198707592892,0.2643290627107215,0.7479674796747967,0.14850686037126715,0.24781144781144782
cmb29,0.9841269841269841,0.20113544201135442,0.33400673400673403,0.9362549800796812,0.19074675324675325,0.31692515171948754,0.9722222222222222,0.19870235198702352,0.3299663299663299
cmbkj,0.94,0.2416452442159383,0.38445807770961143,0.8383838383838383,0.21391752577319587,0.3408624229979466,0.87,0.2236503856041131,0.35582822085889565
cmgap,0.9662921348314607,0.13837489943684633,0.2420830401125968,0.8926553672316384,0.12721417069243157,0.22269203664552503,0.9044943820224719,0.12952534191472245,0.22660098522167488
cml25,0.9565217391304348,0.4731182795698925,0.6330935251798562,0.9230769230769231,0.4540540540540541,0.6086956521739131,0.9456521739130435,0.46774193548387094,0.6258992805755395
cmmqc,0.9932203389830508,0.23743922204213938,0.3832570307390451,0.9693877551020408,0.23114355231143552,0.37328094302554027,0.8067796610169492,0.19286871961102106,0.31131458469587964
cmr65,0.8846153846153846,0.8598130841121495,0.872037914691943,0.8543689320388349,0.8301886792452831,0.8421052631578948,0.8653846153846154,0.8411214953271028,0.8530805687203792
cmu5s,0.9913544668587896,0.25806451612903225,0.40952380952380957,0.9624277456647399,0.25,0.39690107270560193,0.9740634005763689,0.2535633908477119,0.40238095238095234
