conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,summary_time_seconds
ckrjw,1.0,0.06791171477079797,0.12718600953895073,0.9230769230769231,0.061224489795918366,0.11483253588516747,1.0,0.06791171477079797,0.12718600953895073,0.602506160736084
cksef,1.0,0.21067415730337077,0.34802784222737815,0.9910714285714286,0.20805998125585753,0.3439194422927963,1.0,0.21067415730337077,0.34802784222737815,1.7371041774749756
ckz62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0624208450317383
cl2ea,1.0,0.06835443037974684,0.1279620853080569,0.9622641509433962,0.06463878326996197,0.12114014251781473,1.0,0.06835443037974684,0.1279620853080569,0.7527005672454834
cl8at,1.0,0.09205776173285199,0.16859504132231407,0.9504950495049505,0.08672086720867209,0.15894039735099336,1.0,0.09205776173285199,0.16859504132231407,0.9142029285430908
clcgf,1.0,0.40935064935064935,0.5809067453004054,0.98856416772554,0.40436590436590436,0.5739579490962745,1.0,0.40935064935064935,0.5809067453004054,4.317342042922974
clhma,1.0,0.5627737226277372,0.7202241943017281,0.9935064935064936,0.5588020452885317,0.7152875175315567,1.0,0.5627737226277372,0.7202241943017281,4.465394973754883
clicr,1.0,0.21676300578034682,0.3562945368171021,1.0,0.2144927536231884,0.3532219570405728,1.0,0.21676300578034682,0.3562945368171021,0.6715116500854492
clm0x,1.0,0.16080402010050251,0.27705627705627706,0.9748427672955975,0.15593561368209255,0.26886383347788373,1.0,0.16080402010050251,0.27705627705627706,1.2577564716339111
clm8e,1.0,0.062360801781737196,0.11740041928721175,1.0,0.060267857142857144,0.11368421052631579,1.0,0.062360801781737196,0.11740041928721175,0.4137852191925049
clmej,1.0,0.09305210918114144,0.17026106696935303,0.96875,0.08978071990070335,0.16433169254070432,1.0,0.09305210918114144,0.17026106696935303,1.5225071907043457
clms8,1.0,0.21052631578947367,0.34782608695652173,1.0,0.20821114369501467,0.3446601941747573,1.0,0.21052631578947367,0.34782608695652173,1.3307433128356934
cltp4,1.0,0.16188524590163936,0.27865961199294537,0.9871794871794872,0.15811088295687886,0.2725663716814159,1.0,0.16188524590163936,0.27865961199294537,0.8250362873077393
clxn3,1.0,0.09289617486338798,0.16999999999999998,0.98,0.08941605839416059,0.16387959866220736,1.0,0.09289617486338798,0.16999999999999998,0.7687020301818848
cly7c,1.0,0.0556792873051225,0.10548523206751056,0.9795918367346939,0.05351170568561873,0.10147991543340382,1.0,0.0556792873051225,0.10548523206751056,0.6302497386932373
clzhs,1.0,0.07177033492822966,0.13392857142857142,0.9655172413793104,0.0671462829736211,0.12556053811659193,1.0,0.07177033492822966,0.13392857142857142,0.6381356716156006
cm2w3,1.0,0.053475935828877004,0.10152284263959391,1.0,0.04838709677419355,0.09230769230769231,1.0,0.053475935828877004,0.10152284263959391,0.4549267292022705
cm7dp,1.0,0.14987714987714987,0.2606837606837607,0.9833333333333333,0.14532019704433496,0.25321888412017163,1.0,0.14987714987714987,0.2606837606837607,0.6888463497161865
cmat3,1.0,0.6376109765940274,0.7787087235091178,1.0,0.6373182552504039,0.7784903798717315,1.0,0.6376109765940274,0.7787087235091178,4.263422012329102
cmb29,1.0,0.21248986212489862,0.35050167224080264,0.9885057471264368,0.20941558441558442,0.34561286001339586,1.0,0.21248986212489862,0.35050167224080264,1.838655948638916
cmbkj,1.0,0.11568123393316196,0.20737327188940094,0.9772727272727273,0.11082474226804123,0.19907407407407404,1.0,0.11568123393316196,0.20737327188940094,0.708113431930542
cmgap,1.0,0.674175382139984,0.8053820278712157,0.995221027479092,0.6706924315619968,0.8013468013468013,1.0,0.674175382139984,0.8053820278712157,4.352684020996094
cml25,1.0,0.23118279569892472,0.37554585152838427,0.9761904761904762,0.22162162162162163,0.36123348017621143,1.0,0.23118279569892472,0.37554585152838427,0.6606650352478027
cmmqc,1.0,0.08103727714748785,0.14992503748125938,0.98989898989899,0.07948094079480941,0.14714714714714713,1.0,0.08103727714748785,0.14992503748125938,0.7817680835723877
cmr65,1.0,0.27102803738317754,0.4264705882352941,1.0,0.2641509433962264,0.41791044776119407,1.0,0.27102803738317754,0.4264705882352941,0.6852455139160156
cmu5s,1.0,0.10802700675168792,0.19498984427894378,0.972027972027972,0.10435435435435435,0.18847457627118647,1.0,0.10802700675168792,0.19498984427894378,1.4221477508544922
cmur1,1.0,0.02097902097902098,0.0410958904109589,0.8,0.014035087719298246,0.027586206896551724,1.0,0.02097902097902098,0.0410958904109589,0.4647185802459717
cn0io,1.0,0.36645962732919257,0.5363636363636365,1.0,0.3625,0.5321100917431192,1.0,0.36645962732919257,0.5363636363636365,1.1105313301086426
cn36l,1.0,0.13793103448275862,0.2424242424242424,0.9473684210526315,0.125,0.2208588957055215,1.0,0.13793103448275862,0.2424242424242424,0.533764123916626
cn4vs,1.0,0.1111111111111111,0.19999999999999998,0.9876543209876543,0.10854816824966079,0.19559902200489,1.0,0.1111111111111111,0.19999999999999998,0.8584408760070801
cn5om,1.0,0.5576923076923077,0.7160493827160493,1.0,0.5548387096774193,0.7136929460580913,1.0,0.5576923076923077,0.7160493827160493,0.8660261631011963
cnakl,1.0,0.18351477449455678,0.3101182654402103,0.9829059829059829,0.1791277258566978,0.303030303030303,1.0,0.18351477449455678,0.3101182654402103,0.8542211055755615
cnbyl,1.0,0.24726775956284153,0.3964950711938664,0.9611111111111111,0.23666210670314639,0.37980241492864986,1.0,0.24726775956284153,0.3964950711938664,1.3717663288116455
cnd1y,1.0,0.638755980861244,0.7795620437956204,0.98875,0.6312849162011173,0.7705796395518754,1.0,0.638755980861244,0.7795620437956204,4.2414445877075195
cnd3k,1.0,0.38488843813387424,0.5558403515195899,0.9934036939313984,0.3820395738203957,0.5518504946866984,1.0,0.38488843813387424,0.5558403515195899,4.330497980117798
cngmr,1.0,0.1795774647887324,0.3044776119402985,0.98,0.17314487632508835,0.2942942942942943,1.0,0.1795774647887324,0.3044776119402985,0.6103541851043701
cni11,1.0,0.2127659574468085,0.3508771929824561,0.9530201342281879,0.20170454545454544,0.33294255568581477,1.0,0.2127659574468085,0.3508771929824561,1.065481424331665
cnixv,1.0,0.27692307692307694,0.4337349397590362,0.9714285714285714,0.26356589147286824,0.4146341463414634,1.0,0.27692307692307694,0.4337349397590362,0.43260979652404785
cnji3,1.0,0.16417910447761194,0.28205128205128205,1.0,0.16,0.2758620689655173,1.0,0.16417910447761194,0.28205128205128205,0.6483426094055176
cnm0a,1.0,0.07425742574257425,0.13824884792626727,0.9642857142857143,0.0713106635853417,0.13280049185367354,1.0,0.07425742574257425,0.13824884792626727,1.5820128917694092
cnme0,1.0,0.4895697522816167,0.6573304157549235,0.9986666666666667,0.4885844748858447,0.6561541830924222,1.0,0.4895697522816167,0.6573304157549235,4.434355974197388
cnp2m,1.0,0.8234567901234567,0.9031821259309412,0.9954954954954955,0.8195302843016069,0.8989830508474577,1.0,0.8234567901234567,0.9031821259309412,3.7086281776428223
cnvn5,1.0,0.256,0.40764331210191085,0.9682539682539683,0.24497991967871485,0.391025641025641,1.0,0.256,0.40764331210191085,0.69370436668396
cnzj1,1.0,0.14109673444239063,0.2473002159827214,0.9692982456140351,0.13625154130702835,0.2389189189189189,1.0,0.14109673444239063,0.2473002159827214,1.6005470752716064
co5nb,1.0,0.04582210242587601,0.08762886597938144,1.0,0.043243243243243246,0.08290155440414508,1.0,0.04582210242587601,0.08762886597938144,0.6244568824768066
co6ou,1.0,0.3248979591836735,0.4904497843499692,0.9748427672955975,0.31645569620253167,0.4778051787916154,1.0,0.3248979591836735,0.4904497843499692,4.773715257644653
cod6c,1.0,0.08571428571428572,0.15789473684210528,1.0,0.07913669064748201,0.14666666666666667,1.0,0.08571428571428572,0.15789473684210528,0.6365671157836914
cojcu,1.0,0.1260647359454855,0.22390317700453857,0.9452054794520548,0.11774744027303755,0.2094081942336874,1.0,0.1260647359454855,0.22390317700453857,0.8947193622589111
coot0,1.0,0.06060606060606061,0.1142857142857143,0.8979591836734694,0.05339805825242718,0.10080183276059565,1.0,0.06060606060606061,0.1142857142857143,0.6948869228363037
coud9,1.0,0.15348837209302327,0.2661290322580645,0.9847328244274809,0.15017462165308498,0.26060606060606056,1.0,0.15348837209302327,0.2661290322580645,0.9639699459075928
cox98,1.0,0.26305220883534136,0.4165341812400636,0.9461538461538461,0.24748490945674045,0.3923444976076555,1.0,0.26305220883534136,0.4165341812400636,1.082409143447876
coy1c,1.0,0.22767857142857142,0.3709090909090909,0.96,0.21524663677130046,0.3516483516483517,1.0,0.22767857142857142,0.3709090909090909,0.5542147159576416
cp48p,1.0,0.35964912280701755,0.5290322580645161,0.975,0.34513274336283184,0.5098039215686274,1.0,0.35964912280701755,0.5290322580645161,0.5626156330108643
cp77e,1.0,0.16611842105263158,0.2849083215796897,0.97,0.15980230642504117,0.2743988684582744,1.0,0.16611842105263158,0.2849083215796897,0.7845215797424316
cp7bz,1.0,0.1596806387225549,0.27538726333907054,0.9685534591194969,0.15384615384615385,0.2655172413793103,1.0,0.1596806387225549,0.27538726333907054,1.3578917980194092
