conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,summary_time_seconds
ckrjw,1.0,0.25806451612903225,0.41025641025641024,0.9735099337748344,0.25,0.3978349120433018,1.0,0.25806451612903225,0.41025641025641024,1.7852540016174316
cksef,1.0,0.31179775280898875,0.4753747323340471,0.9789156626506024,0.3045923149015933,0.4646175839885633,1.0,0.31179775280898875,0.4753747323340471,5.300624847412109
ckz62,1.0,0.2025586353944563,0.33687943262411346,0.9893617021276596,0.1987179487179487,0.3309608540925267,1.0,0.2025586353944563,0.33687943262411346,2.5793635845184326
cl2ea,1.0,0.25443037974683547,0.4056508577194753,0.94,0.23827629911280102,0.3801820020222446,0.9950248756218906,0.25316455696202533,0.4036326942482341,3.0685529708862305
cl8at,1.0,0.18411552346570398,0.31097560975609756,0.9556650246305419,0.17524841915085818,0.2961832061068702,1.0,0.18411552346570398,0.31097560975609756,3.5634305477142334
clcgf,1.0,0.16727272727272727,0.2866043613707165,0.9532710280373832,0.15904365904365905,0.27260579064587975,0.9968944099378882,0.16675324675324676,0.28571428571428575,3.6702048778533936
clhma,1.0,0.1335766423357664,0.23567289117836443,0.978021978021978,0.13002191380569758,0.22952933591231459,1.0,0.1335766423357664,0.23567289117836443,2.1652958393096924
clicr,1.0,0.36127167630057805,0.5307855626326964,0.967741935483871,0.34782608695652173,0.511727078891258,1.0,0.36127167630057805,0.5307855626326964,1.8194501399993896
clm0x,1.0,0.1748743718592965,0.29769033361847735,0.976878612716763,0.17002012072434608,0.28963153384747214,1.0,0.1748743718592965,0.29769033361847735,2.5606346130371094
clm8e,1.0,0.26280623608017817,0.41622574955908287,0.9743589743589743,0.2544642857142857,0.40353982300884955,1.0,0.26280623608017817,0.41622574955908287,1.4711487293243408
clmej,1.0,0.09925558312655088,0.18058690744920994,0.9581589958158996,0.0947455523376086,0.17243975903614456,0.9958333333333333,0.09884201819685691,0.17983446200150488,3.8930816650390625
