conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,summary_time_seconds
ckrjw,1.0,0.41935483870967744,0.5909090909090909,0.983739837398374,0.41156462585034015,0.580335731414868,1.0,0.41935483870967744,0.5909090909090909,51.262134075164795
cksef,1.0,0.28558052434456926,0.4442825928623452,0.9835526315789473,0.2802249297094658,0.43617797228300503,1.0,0.28558052434456926,0.4442825928623452,76.19591856002808
ckz62,1.0,0.14498933901918976,0.25325884543761634,0.9701492537313433,0.1388888888888889,0.24299065420560745,1.0,0.14498933901918976,0.25325884543761634,119.21115064620972
cl2ea,1.0,0.3037974683544304,0.46601941747572817,0.9832635983263598,0.29784537389100124,0.45719844357976647,1.0,0.3037974683544304,0.46601941747572817,90.71046948432922
cl8at,1.0,0.20577617328519857,0.3413173652694611,0.9559471365638766,0.1960252935862692,0.3253373313343328,1.0,0.20577617328519857,0.3413173652694611,152.00508451461792
clcgf,1.0,0.13246753246753246,0.23394495412844035,0.9645669291338582,0.12733887733887733,0.2249770431588613,1.0,0.13246753246753246,0.23394495412844035,133.44816374778748
clhma,1.0,0.17883211678832117,0.30340557275541796,0.9713114754098361,0.1731190650109569,0.29386236825790446,1.0,0.17883211678832117,0.30340557275541796,170.9627423286438
clicr,1.0,0.20809248554913296,0.34449760765550236,0.9859154929577465,0.2028985507246377,0.33653846153846156,1.0,0.20809248554913296,0.34449760765550236,33.876291275024414
clm0x,1.0,0.26834170854271355,0.42313787638668776,0.9849624060150376,0.2635814889336016,0.4158730158730159,1.0,0.26834170854271355,0.42313787638668776,57.8415892124176
clm8e,1.0,0.24053452115812918,0.3877917414721724,0.9813084112149533,0.234375,0.37837837837837834,1.0,0.24053452115812918,0.3877917414721724,44.73886322975159
clmej,1.0,0.09925558312655088,0.18058690744920994,0.9707112970711297,0.09598676044683492,0.1746987951807229,1.0,0.09925558312655088,0.18058690744920994,141.31922602653503
